customer	tier	homeStore	homeStoreLat	homeStoreLon	distance	receipt	datetime	onlineFlag	store	storeLat	storeLon	upc	desc	mupc	subcat	subcat_num	cat	cat_num	dept	dept_num	sales	discount	quantity
bdddad32053f7f53031d5dbfdc0692a01837373f	3	66	35.059823	-80.816172	0.839851656	dd4b97177ebb1ea7b6732cc585ac8d0992ae1f87	9/11/14 21:04	0	11	35.053394	-80.848528	8070	24PK RECYCLING FEE	807	REGULAR	55	CARBONATED BEVERAGES	8	BEVERAGE	23	2	0	1
388acdabfcf14371f3e3715b783d2dd86eaef343	2	11	35.053394	-80.848528	1.487552779	3f4560138de0fe76ca4e4cfa53eaf893a8fee8b1	11/18/14 20:07	0	11	35.053394	-80.848528	8070	24PK RECYCLING FEE	807	REGULAR	55	CARBONATED BEVERAGES	8	BEVERAGE	23	2	0	1
244a61514bf4e7cc8b53b1e86f1386b15e63fd2a	3	182	34.95459	-80.758228	19.17394238	7b656442ba85ad1e5a63d921cef06c69e622d780	3/2/15 15:24	0	372	34.937113	-80.837892	958940	CHEESE DANISH	95894	PASTRY	1599	STARBUCKS	370	COFFEE SHOP	22	2.45	0	1
fdc67de3d4ee9077be1fee92c19423b221c1e46a	2	317	35.024464	-80.847383	2.481649615	cfc050d7c08982c1a2093e103493ab7cfd7dfac6	12/16/14 10:12	0	372	34.937113	-80.837892	958940	CHEESE DANISH	95894	PASTRY	1599	STARBUCKS	370	COFFEE SHOP	22	2.45	0	1
7abefb9b3f88d0fec923b34aba3fd231d95ee115	1	30	35.096737	-80.78468	0.894203847	cfd7fe8b6ca0bd4438f6c4e3e7bbfeaccc574ee3	10/2/14 16:08	0	372	34.937113	-80.837892	958940	CHEESE DANISH	95894	PASTRY	1599	STARBUCKS	370	COFFEE SHOP	22	2.45	0	1
84d2310ad7d1c591f226386bb55e02cd1ed1bc6e	1	82	35.03469	-80.97058	2.48806444	e9ef23c87e7a69578bfbfea87fd164b004087c61	1/30/15 8:12	0	82	35.03469	-80.97058	958940	CHEESE DANISH	95894	PASTRY	1599	STARBUCKS	370	COFFEE SHOP	22	2.45	1.23	1
341201b209fb1701d238bbc58a68d05037ded471	1	471	35.442529	-80.762919	3.187159972	2c023c9a1c3071dcbdded317a178bd4b0d8d4fe2	9/18/14 16:43	0	268	35.500972	-80.860108	959570	SLTD CRML MOCHA FRAP GRAN	95957	NFS BEVERAGE BLEND	1597	NFS STARBUCKS	369	COFFEE SHOP	22	4.75	0	1
defa10073f7ec3e18521dda2ebfe5d7ba677b849	2	99	35.585842	-80.875654	1.750706917	d9ca616accc6c4a5df79e67e049fa359e435faa0	9/21/14 16:39	0	274	35.603432	-80.895009	959570	SLTD CRML MOCHA FRAP GRAN	95957	NFS BEVERAGE BLEND	1597	NFS STARBUCKS	369	COFFEE SHOP	22	4.75	0	1
d7984a943579faa1f7871ed6e99575bcf1ac4ea2	2	157	35.124987	-80.709466	1.79074786	56b5b36a538aa407a0dc757bc1779b5b33e163d8	12/5/14 16:52	0	157	35.124987	-80.709466	959570	SLTD CRML MOCHA FRAP GRAN	95957	NFS BEVERAGE BLEND	1597	NFS STARBUCKS	369	COFFEE SHOP	22	4.75	1.75	1
8d7d623dbf256d6792b6c34cd3c6df26c5fe2cec	2	157	35.124987	-80.709466	0.851539602	78c97285ff7c1487b961147f9ba2a74c84a73870	9/20/14 15:21	0	157	35.124987	-80.709466	959570	SLTD CRML MOCHA FRAP GRAN	95957	NFS BEVERAGE BLEND	1597	NFS STARBUCKS	369	COFFEE SHOP	22	9.5	4.75	2
2fc86b6946aebfcd4ac59eec0e3921028e312a66	4	372	34.937113	-80.837892	20.37903075	9e967287f86e46ca8ead44b90865c31f0bdf4439	10/19/14 15:09	0	372	34.937113	-80.837892	959570	SLTD CRML MOCHA FRAP GRAN	95957	NFS BEVERAGE BLEND	1597	NFS STARBUCKS	369	COFFEE SHOP	22	4.75	0	1
559affaa6d1aefcb82c87f1256a975c09ec225cd	1	208	35.17739	-80.80146	2.335460905	a3ef61c4d6f2a72b58d5995b048a3f4058e2686e	9/27/14 11:44	0	157	35.124987	-80.709466	968840	CAFFE MOCHA GRANDE	96884	NFS BEVERAGE ESPRESSO	1589	NFS STARBUCKS	369	COFFEE SHOP	22	4.15	0	1
43c4e7d038650842db46e8c165e398a00e69f705	1	268	35.500972	-80.860108	4.368003823	75112a56364d4992d08569330d122d996c38c2f5	11/17/14 6:51	0	268	35.500972	-80.860108	968840	CAFFE MOCHA GRANDE	96884	NFS BEVERAGE ESPRESSO	1589	NFS STARBUCKS	369	COFFEE SHOP	22	4.15	0	1
b73a7f4e37273d5f5263cf9b421b37176e06b2a3	4	372	34.937113	-80.837892	21.40478773	1f9efcb09be135369a3c47daeaa9f9e04ce229a4	11/22/14 10:40	0	475	35.061685	-80.994596	968840	CAFFE MOCHA GRANDE	96884	NFS BEVERAGE ESPRESSO	1589	NFS STARBUCKS	369	COFFEE SHOP	22	4.15	0	1
43c4e7d038650842db46e8c165e398a00e69f705	1	268	35.500972	-80.860108	4.368003823	f0f072e82e91273e33b7604c551d962eac1d9679	3/3/15 7:46	0	268	35.500972	-80.860108	968840	CAFFE MOCHA GRANDE	96884	NFS BEVERAGE ESPRESSO	1589	NFS STARBUCKS	369	COFFEE SHOP	22	4.15	0	1
acd4bb36b708150dc2ab5cf1a58c677c762493ac	2	372	34.937113	-80.837892	1.260484075	ffbaad30a17ec3e628c98f5fa6e8e05bf03f84d9	12/14/14 11:32	0	372	34.937113	-80.837892	968840	CAFFE MOCHA GRANDE	96884	NFS BEVERAGE ESPRESSO	1589	NFS STARBUCKS	369	COFFEE SHOP	22	4.15	0	1
ff1fb0d7a37f0afa26313d15a969442febb8196e	3	209	35.40953	-80.86175	1.206911972	eda8c4f089bc9906d8a4cf6fa654fe329085e665	1/10/15 10:21	0	317	35.024464	-80.847383	968840	CAFFE MOCHA GRANDE	96884	NFS BEVERAGE ESPRESSO	1589	NFS STARBUCKS	369	COFFEE SHOP	22	4.15	0	1
a9ccb5cfbd8f457a1d9282fdc7c21e0ef9fca622	4	4	35.106477	-80.806073	1.860636068	86602249822946f5c8cb0b597e3fe4d634c95174	1/21/15 13:06	0	372	34.937113	-80.837892	968840	CAFFE MOCHA GRANDE	96884	NFS BEVERAGE ESPRESSO	1589	NFS STARBUCKS	369	COFFEE SHOP	22	4.15	0	1
